ID,Name,Description,string
61,Blue Essence,A light blue style that helps you focus on content on the map.,feature:landscape.natural%7Celement:geometry.fill%7Cvisibility:on%7Ccolor:0xe0efef&style=feature:poi%7Celement:geometry.fill%7Cvisibility:on%7Chue:0x1900ff%7Ccolor:0xc0e8e8&style=feature:road%7Celement:geometry%7Clightness:100%7Cvisibility:simplified&style=feature:road%7Celement:labels%7Cvisibility:off&style=feature:transit.line%7Celement:geometry%7Cvisibility:on%7Clightness:700&style=feature:water%7Celement:all%7Ccolor:0x7dcdcd
35,Avocado World,A creamy green color palette.,feature:water%7Celement:geometry%7Cvisibility:on%7Ccolor:0xaee2e0&style=feature:landscape%7Celement:geometry.fill%7Ccolor:0xabce83&style=feature:poi%7Celement:geometry.fill%7Ccolor:0x769E72&style=feature:poi%7Celement:labels.text.fill%7Ccolor:0x7B8758&style=feature:poi%7Celement:labels.text.stroke%7Ccolor:0xEBF4A4&style=feature:poi.park%7Celement:geometry%7Cvisibility:simplified%7Ccolor:0x8dab68&style=feature:road%7Celement:geometry.fill%7Cvisibility:simplified&style=feature:road%7Celement:labels.text.fill%7Ccolor:0x5B5B3F&style=feature:road%7Celement:labels.text.stroke%7Ccolor:0xABCE83&style=feature:road%7Celement:labels.icon%7Cvisibility:off&style=feature:road.local%7Celement:geometry%7Ccolor:0xA4C67D&style=feature:road.arterial%7Celement:geometry%7Ccolor:0x9BBF72&style=feature:road.highway%7Celement:geometry%7Ccolor:0xEBF4A4&style=feature:transit%7Cvisibility:off&style=feature:administrative%7Celement:geometry.stroke%7Cvisibility:on%7Ccolor:0x87ae79&style=feature:administrative%7Celement:geometry.fill%7Ccolor:0x7f2200%7Cvisibility:off&style=feature:administrative%7Celement:labels.text.stroke%7Ccolor:0xffffff%7Cvisibility:on%7Cweight:4.1&style=feature:administrative%7Celement:labels.text.fill%7Ccolor:0x495421&style=feature:administrative.neighborhood%7Celement:labels%7Cvisibility:off
98,Purple Rain,Everything on this map is a pleasant shade of desaturated purple.,feature:road%7Chue:0x5e00ff%7Csaturation:-79&style=feature:poi%7Csaturation:-78%7Chue:0x6600ff%7Clightness:-47%7Cvisibility:off&style=feature:road.local%7Clightness:22&style=feature:landscape%7Chue:0x6600ff%7Csaturation:-11&style=&style=&style=feature:water%7Csaturation:-65%7Chue:0x1900ff%7Clightness:8&style=feature:road.local%7Cweight:1.3%7Clightness:30&style=feature:transit%7Cvisibility:simplified%7Chue:0x5e00ff%7Csaturation:-16&style=feature:transit.line%7Csaturation:-72
84,Pastel Tones,Simple pastel look and feel.,feature:landscape%7Csaturation:-100%7Clightness:60&style=feature:road.local%7Csaturation:-100%7Clightness:40%7Cvisibility:on&style=feature:transit%7Csaturation:-100%7Cvisibility:simplified&style=feature:administrative.province%7Cvisibility:off&style=feature:water%7Cvisibility:on%7Clightness:30&style=feature:road.highway%7Celement:geometry.fill%7Ccolor:0xef8c25%7Clightness:40&style=feature:road.highway%7Celement:geometry.stroke%7Cvisibility:off&style=feature:poi.park%7Celement:geometry.fill%7Ccolor:0xb6c54c%7Clightness:40%7Csaturation:-40&style=
64,Old Dry Mud,Orange with pale blue sea.,feature:landscape%7Chue:0xFFAD00%7Csaturation:50.2%7Clightness:-34.8%7Cgamma:1&style=feature:road.highway%7Chue:0xFFAD00%7Csaturation:-19.8%7Clightness:-1.8%7Cgamma:1&style=feature:road.arterial%7Chue:0xFFAD00%7Csaturation:72.4%7Clightness:-32.6%7Cgamma:1&style=feature:road.local%7Chue:0xFFAD00%7Csaturation:74.4%7Clightness:-18%7Cgamma:1&style=feature:water%7Chue:0x00FFA6%7Csaturation:-63.2%7Clightness:38%7Cgamma:1&style=feature:poi%7Chue:0xFFC300%7Csaturation:54.2%7Clightness:-14.4%7Cgamma:1
8097,WY,Map style for WY default color scheme.,feature:all%7Celement:geometry.fill%7Cweight:2.00&style=feature:all%7Celement:geometry.stroke%7Ccolor:0x9c9c9c&style=feature:all%7Celement:labels.text%7Cvisibility:on&style=feature:landscape%7Celement:all%7Ccolor:0xf2f2f2&style=feature:landscape%7Celement:geometry.fill%7Ccolor:0xffffff&style=feature:landscape.man_made%7Celement:geometry.fill%7Ccolor:0xffffff&style=feature:poi%7Celement:all%7Cvisibility:off&style=feature:road%7Celement:all%7Csaturation:-100%7Clightness:45&style=feature:road%7Celement:geometry.fill%7Ccolor:0xeeeeee&style=feature:road%7Celement:labels.text.fill%7Ccolor:0x7b7b7b&style=feature:road%7Celement:labels.text.stroke%7Ccolor:0xffffff&style=feature:road.highway%7Celement:all%7Cvisibility:simplified&style=feature:road.arterial%7Celement:labels.icon%7Cvisibility:off&style=feature:transit%7Celement:all%7Cvisibility:off&style=feature:water%7Celement:all%7Ccolor:0x46bcec%7Cvisibility:on&style=feature:water%7Celement:geometry.fill%7Ccolor:0xc8d7d4&style=feature:water%7Celement:labels.text.fill%7Ccolor:0x070707&style=feature:water%7Celement:labels.text.stroke%7Ccolor:0xffffff
60952,apple-like,Similar to Apple Maps.,feature:administrative.country%7Celement:labels.text%7Clightness:29&style=feature:administrative.province%7Celement:labels.text.fill%7Clightness:-12%7Ccolor:0x796340&style=feature:administrative.locality%7Celement:labels.text.fill%7Clightness:15%7Csaturation:15&style=feature:landscape.man_made%7Celement:geometry%7Cvisibility:on%7Ccolor:0xfbf5ed&style=feature:landscape.natural%7Celement:geometry%7Cvisibility:on%7Ccolor:0xfbf5ed&style=feature:poi%7Celement:labels%7Cvisibility:off&style=feature:poi.attraction%7Celement:all%7Cvisibility:on%7Clightness:30%7Csaturation:-41%7Cgamma:0.84&style=feature:poi.attraction%7Celement:labels%7Cvisibility:on&style=feature:poi.business%7Celement:all%7Cvisibility:off&style=feature:poi.business%7Celement:labels%7Cvisibility:off&style=feature:poi.medical%7Celement:geometry%7Ccolor:0xfbd3da&style=feature:poi.medical%7Celement:labels%7Cvisibility:on&style=feature:poi.park%7Celement:geometry%7Ccolor:0xb0e9ac%7Cvisibility:on&style=feature:poi.park%7Celement:labels%7Cvisibility:on&style=feature:poi.park%7Celement:labels.text.fill%7Chue:0x68ff00%7Clightness:-24%7Cgamma:1.59&style=feature:poi.sports_complex%7Celement:all%7Cvisibility:on&style=feature:poi.sports_complex%7Celement:geometry%7Csaturation:10%7Ccolor:0xc3eb9a&style=feature:road%7Celement:geometry.stroke%7Cvisibility:on%7Clightness:30%7Ccolor:0xe7ded6&style=feature:road%7Celement:labels%7Cvisibility:on%7Csaturation:-39%7Clightness:28%7Cgamma:0.86&style=feature:road.highway%7Celement:geometry.fill%7Ccolor:0xffe523%7Cvisibility:on&style=feature:road.highway%7Celement:geometry.stroke%7Cvisibility:on%7Csaturation:0%7Cgamma:1.44%7Ccolor:0xfbc28b&style=feature:road.highway%7Celement:labels%7Cvisibility:on%7Csaturation:-40&style=feature:road.arterial%7Celement:geometry%7Ccolor:0xfed7a5&style=feature:road.arterial%7Celement:geometry.fill%7Cvisibility:on%7Cgamma:1.54%7Ccolor:0xfbe38b&style=feature:road.local%7Celement:geometry.fill%7Ccolor:0xffffff%7Cvisibility:on%7Cgamma:2.62%7Clightness:10&style=feature:road.local%7Celement:geometry.stroke%7Cvisibility:on%7Cweight:0.50%7Cgamma:1.04&style=feature:transit.station.airport%7Celement:geometry.fill%7Ccolor:0xdee3fb&style=feature:water%7Celement:geometry%7Csaturation:46%7Ccolor:0xa4e1ff
23,Bates Green,"A nice, simple green version of the map.",feature:water%7Celement:all%7Chue:0x1CB2BD%7Csaturation:53%7Clightness:-44%7Cvisibility:on&style=feature:road%7Celement:all%7Chue:0x1CB2BD%7Csaturation:40&style=feature:landscape%7Celement:all%7Chue:0xBBDC00%7Csaturation:80%7Clightness:-20%7Cvisibility:on&style=feature:road.highway%7Celement:all%7Cvisibility:on
83,Muted Blue,An unobtrusive blue design for minimal user-experiences.,feature:all%7Csaturation:0%7Chue:0xe7ecf0&style=feature:road%7Csaturation:-70&style=feature:transit%7Cvisibility:off&style=feature:poi%7Cvisibility:off&style=feature:water%7Cvisibility:simplified%7Csaturation:-60
127403,No label Bright Colors,A map without label and brighter colors.,feature:all%7Celement:all%7Csaturation:32%7Clightness:-3%7Cvisibility:on%7Cweight:1.18&style=feature:administrative%7Celement:labels%7Cvisibility:off&style=feature:landscape%7Celement:labels%7Cvisibility:off&style=feature:landscape.man_made%7Celement:all%7Csaturation:-70%7Clightness:14&style=feature:poi%7Celement:labels%7Cvisibility:off&style=feature:road%7Celement:labels%7Cvisibility:off&style=feature:transit%7Celement:labels%7Cvisibility:off&style=feature:water%7Celement:all%7Csaturation:100%7Clightness:-14&style=feature:water%7Celement:labels%7Cvisibility:off%7Clightness:12
14,Vintage,A dark two-tone map with a striking red color against a dark grey.,visibility:off&style=feature:water%7Cvisibility:on%7Ccolor:0x2f343b&style=feature:landscape%7Cvisibility:on%7Ccolor:0x703030&style=feature:administrative%7Celement:geometry.stroke%7Cvisibility:on%7Ccolor:0x2f343b%7Cweight:1
68,Aqua,A cool two tone map that looks great when zoomed in.,feature:landscape%7Ccolor:0x6c8080%7Cvisibility:simplified&style=feature:administrative%7Celement:labels.text%7Cvisibility:off&style=feature:road%7Cvisibility:simplified&style=feature:poi%7Cvisibility:off&style=feature:road.highway%7Celement:labels%7Cvisibility:off&style=feature:road.highway%7Celement:labels%7Cvisibility:off&style=feature:road%7Celement:labels.icon%7Cvisibility:off&style=feature:transit%7Celement:labels%7Cvisibility:off&style=element:labels%7Cvisibility:off&style=feature:road.highway%7Ccolor:0xd98080%7Chue:0xeeff00%7Clightness:100%7Cweight:1.5
72,Transport for London,Style based on London transport maps.,element:labels.text%7Cvisibility:off&style=element:labels.icon%7Cvisibility:off&style=element:geometry.stroke%7Cvisibility:off&style=feature:water%7Celement:geometry.fill%7Ccolor:0x0099cc&style=feature:road%7Celement:geometry.fill%7Ccolor:0x00314e&style=feature:transit.line%7Celement:geometry.fill%7Cvisibility:on%7Ccolor:0xf0f0f0&style=feature:landscape.man_made%7Ccolor:0xadbac9&style=feature:landscape.natural%7Ccolor:0xadb866&style=feature:poi%7Ccolor:0xf7c742&style=feature:poi.park%7Ccolor:0xadb866&style=feature:transit.station%7Celement:geometry.fill%7Ccolor:0xff8dd3&style=feature:transit.station%7Ccolor:0xff8dd3&style=feature:transit.line%7Celement:geometry.fill%7Cvisibility:on%7Ccolor:0x808080&style=
6296,darkdetail,"minimal, dark grayscale, retaining POI labels.",feature:landscape%7Chue:0xFFAD00%7Csaturation:50.2%7Clightness:-34.8%7Cgamma:1&style=feature:road.highway%7Chue:0xFFAD00%7Csaturation:-19.8%7Clightness:-1.8%7Cgamma:1&style=feature:road.arterial%7Chue:0xFFAD00%7Csaturation:72.4%7Clightness:-32.6%7Cgamma:1&style=feature:road.local%7Chue:0xFFAD00%7Csaturation:74.4%7Clightness:-18%7Cgamma:1&style=feature:water%7Chue:0x00FFA6%7Csaturation:-63.2%7Clightness:38%7Cgamma:1&style=feature:poi%7Chue:0xFFC300%7Csaturation:54.2%7Clightness:-14.4%7Cgamma:1
